1,Lobster:17.18;Annatto seed:58.38;Camomile:83.21,25,complete
2,Sun dried tomatoes:90.16;Mastic:52.69;Nori:63.09;Cabbage:5.35,10,paid
3,Vegetable spaghetti:37.83;Dates:90.88;WhiteFlour:3.24;Caraway Seed:54.29,5,processing
4,Aubergine:56.71;Brown rice vinegar:33.52;dried Chinese Broccoli:51.74,35,paid
5,Sour Dough Bread:35.11,21,shipped
6,Peaches:46.34,14,pending
7,Eggs:84.23;Watermelon:11.16;Cherries:10.4,24,complete
8,Tahini:74.52;Chickory:43.8;Cos lettuce:33.4,12,complete
9,Iceberg lettuce:88.51;Rice paper:66.35;Amaranth:1.5;Walnut:65.26,14,paid
10,Jerusalem Artichoke:59.92,26,complete
11,Pinto Beans:68.42,4,pending
12,Cavalo:70.89;Soy Sauce:62.63,20,complete
13,Lettuce:37.94;Rice paper:23.93;Flaxseed:23.67,19,paid
14,Semolina:12.79;Quinoa:19.0,15,complete
15,Cranberry:85.36,8,pending
16,Ricemilk:5.07,10,processing
17,Adzuki Beans:3.1;Safflower Oil:50.72;Spring Onions:81.61,11,processing
18,FlourRice:2.02;Red cabbage:70.14;Quark Quinc:12.36;Mung Beans:96.45,23,complete
19,Wholewheat flour:0.95,1,processing
20,Cornmeal:32.21;Soba:23.91;Potatoes:81.6,25,complete
21,Ricemilk:38.96;Celery Seed:53.7;SwordfishTabasco:70.52,29,complete
22,Chestnut:40.91;Chives:28.63,15,paid
23,Garlic:15.18;Pecorino:63.11,20,paid
24,Gula MelakaHaloumiHam:1.7;Chia seeds:78.22;Clams:61.12,24,shipped
25,Cabbage:52.42;Tea:54.52;Custard ApplesDaikon:7.65;Wheat:59.56,28,paid
26,Rice Syrup:98.45,26,shipped
27,Apples:61.87;Garlic:64.36,27,shipped
28,Oatmeal:55.88;Celery:14.88;Sake:16.81;Smoked Trout:40.67,25,shipped
29,Radish:53.09;Water:26.37,9,shipped
30,Edam:7.0;Beef Stock:72.47;Turmeric:59.35;Coconut:62.62,18,complete
31,Capers:20.66;Tarragon:36.04;Arborio rice:67.06;Bean Shoots:41.97,13,processing
32,CarobCarrot:76.72;Coriander Seed:11.02,12,complete
33,Soymilk:47.55;Longan:14.86;Fish Sauce:85.19;Cashews:28.49,14,shipped
34,Brown Flour:16.12;Choy Sum:87.67,7,processing
35,Pumpkin Seed:24.63,31,paid
36,Oranges:12.05;Tomatoes:28.46;Mahi mahi:67.78,20,pending
37,Enoki Mushrooms:10.36;Avocado Oil:78.89,12,paid
38,Kale:90.99;Miso:90.2,2,complete
39,Beans:78.89;Mangosteens:35.01,31,paid
40,Butternut pumpkin:71.1;Hijiki:28.58,34,processing
41,Parmesan cheese:28.87,12,complete
42,Tea Oil:1.65;Tapioca:36.11;Kidney Beans:89.91,9,shipped
43,Morwong:98.2;Baking Soda:91.49;Green Tea noodles:32.06,20,complete
44,Papaya:46.45;Butter:91.32;Coriander Leaves:98.34,4,processing
45,Basil Basmati rice:7.97;Figs:78.13;Pumpkin Seed:37.02;Asian Greens:30.14,23,complete
46,Avocado Spread:45.16;Incaberries:76.24;Hijiki:9.2,26,pending
47,Nasturtium:26.33;Baking Powder:47.62,35,processing
48,Mint:37.17;Goat Milk:66.48;Shiitake Mushrooms:3.28,27,shipped
49,Bay Leaves:51.02;Sea Salt:56.44;Macadamia Nut:73.3,33,complete
50,Star Fruit:51.8,30,processing
51,Currants:47.33;Arrowroot:45.83,25,shipped
52,Nashi Pear:70.41;Dates:64.76;Flathead:83.44,15,shipped
53,Vegetable Stock:32.51,33,complete
54,Oregano:8.04,6,shipped
55,Fennel:57.35,6,pending
56,Snapper:8.22,35,shipped
57,Oyster Sauce:41.76;Tea:89.85;SwordfishTabasco:69.31,28,complete
58,Allspice:58.92;Peppercorns:91.64;Bocconcini:57.22;Jewfish:25.54,35,paid
59,Miso:88.86;White Wine:8.52;Turnips:30.73,31,processing
60,Hummus:90.71,30,processing
61,Sardines:9.93;Zucchini:94.26,10,complete
62,Chilli Pepper:64.53;Apples:8.22,12,complete
63,Dandelion:55.85;Porcini mushrooms:80.33,8,pending
64,Polenta:53.62;Cacao:59.06;Hokkien Noodles:10.06;Cumquat:24.09,30,complete
65,ThymeTofu:49.53;Pineapple:13.81;Porcini mushrooms:8.98;Bonito Flakes:92.0,32,complete
66,Fingerlime:52.92;Common Cultivated Mushrooms:8.91;Oregano:41.6,34,processing
67,Rye:78.9,6,shipped
68,Red Lentils:69.39,12,shipped
69,Vegetable Stock:46.06;Lentils:23.03;Cornichons:28.77;Snowpea sprouts:80.32,3,complete
70,Trout:90.45,33,paid
71,Vermicelli Noodles:67.28;Mackerel:20.51,21,paid
72,Baking Powder:16.76;Calamari:37.5;Chinese Five Spice:5.77,25,processing
73,RyeBread:74.48;Flounder:91.32,23,pending
74,Flathead:7.26;Nuts:39.66;Custard ApplesDaikon:32.31;Bran:40.23,18,complete
75,Edamame:2.35;Blood oranges:55.32;Capsicum:28.21,20,paid
76,Spinach:86.89;Coconut water:78.1,11,complete
77,Wakame:86.45;Soy:2.53;Balsamic Vinegar:81.52,21,paid
78,Sardines:15.58;Coconut Oil:70.52;Peppermint:60.04,29,paid
79,Star Fruit:29.61;White Wine:87.73;Mung Beans:98.05;Capsicum:76.88,17,pending
80,Cake:72.42,27,paid
81,Freekeh:97.33;Canola Oil:51.92,17,pending
82,Asafoetida:55.33,31,paid
83,Garlic:44.32;Bonito Flakes:63.06;Honeydew melon:45.87,24,complete
84,Kohlrabi:71.27;Ricotta:75.14;Fish Stock:87.51;Yeast:13.2,19,complete
85,Lettuce:22.9;Pandanus leaves:52.51;Sultanas:61.68;Blood oranges:32.73,34,paid
86,Jasmine rice:73.43;Soy Milk:1.69,4,pending
87,Tea Oil:68.17,26,shipped
88,Milk:15.22;Beetroot:98.96;Omega Spread:47.33;Starfruit:9.76,10,complete
89,Sun dried tomatoes:67.23,26,paid
90,Brown rice vinegar:47.95,12,pending
91,Spearmint:33.47;Achacha:88.85;Rose Water:93.98;Macadamia oil:8.03,31,pending
92,Endive:31.59;Prunes:33.36,18,complete
93,Harissa:46.76,33,paid
94,FreshChillies:17.94;Brown Rice:44.73,28,processing
95,Rice Noodles:77.36;Scallops:64.53,25,shipped
96,Lychees:97.72,19,paid
97,Aniseed:25.58;Hummus:13.83,31,paid
98,Cumquat:3.14;Peppers:65.33,26,processing
99,White rice:66.16;Besan:19.33;Strawberries:61.29;Taleggio cheese:68.45,20,shipped
100,Amaranth:83.81;Smoked Trout:70.6;Cheddar:5.63,20,pending
